dataset,formula_id,prover,status,nodes_expanded,elapsed_seconds,formula,error
easy.txt,1,baseline,proved,2,4.6e-05,P(a) -> P(a),
easy.txt,1,improved,proved,2,3e-05,P(a) -> P(a),
easy.txt,2,baseline,proved,3,3e-05,(P(a) && Q(a)) -> P(a),
easy.txt,2,improved,proved,3,3.4e-05,(P(a) && Q(a)) -> P(a),
easy.txt,3,baseline,proved,3,2.3e-05,(P(a) && Q(a)) -> Q(a),
easy.txt,3,improved,proved,3,2.8e-05,(P(a) && Q(a)) -> Q(a),
easy.txt,4,baseline,proved,3,2.5e-05,P(a) -> (P(a) || Q(a)),
easy.txt,4,improved,proved,3,2.9e-05,P(a) -> (P(a) || Q(a)),
easy.txt,5,baseline,proved,3,2.2e-05,Q(a) -> (P(a) || Q(a)),
easy.txt,5,improved,proved,3,2.6e-05,Q(a) -> (P(a) || Q(a)),
hard.txt,1,baseline,recursion_error,1021,0.083713,(forall x. P(x) -> Q(x)) -> ((forall x. Q(x) -> R(x)) -> (P(a) -> R(a))),maximum recursion depth exceeded
hard.txt,1,improved,failed,9,0.0002,(forall x. P(x) -> Q(x)) -> ((forall x. Q(x) -> R(x)) -> (P(a) -> R(a))),
hard.txt,2,baseline,recursion_error,989,0.077236,((forall x. P(x)) && (forall x. P(x) -> Q(x))) -> Q(a),maximum recursion depth exceeded
hard.txt,2,improved,failed,8,0.000152,((forall x. P(x)) && (forall x. P(x) -> Q(x))) -> Q(a),
hard.txt,3,baseline,proved,9,0.000125,(forall x. P(x) -> (Q(x) || R(x))) -> (P(a) -> (Q(a) || R(a))),
hard.txt,3,improved,proved,9,0.000131,(forall x. P(x) -> (Q(x) || R(x))) -> (P(a) -> (Q(a) || R(a))),
hard.txt,4,baseline,recursion_error,1021,0.076241,((exists x. P(x)) && (forall x. P(x) -> Q(x))) -> (exists x. Q(x)),maximum recursion depth exceeded
hard.txt,4,improved,failed,9,0.000166,((exists x. P(x)) && (forall x. P(x) -> Q(x))) -> (exists x. Q(x)),
hard.txt,5,baseline,proved,6,9.9e-05,(forall x. P(x) -> P(f(x))) -> (P(a) -> P(f(a))),
hard.txt,5,improved,proved,6,9.2e-05,(forall x. P(x) -> P(f(x))) -> (P(a) -> P(f(a))),
medium.txt,1,baseline,proved,8,7.7e-05,((P(a) -> Q(a)) && (Q(a) -> R(a))) -> (P(a) -> R(a)),
medium.txt,1,improved,proved,8,7.9e-05,((P(a) -> Q(a)) && (Q(a) -> R(a))) -> (P(a) -> R(a)),
medium.txt,2,baseline,proved,3,3.4e-05,(forall x. P(x)) -> P(a),
medium.txt,2,improved,proved,3,3.2e-05,(forall x. P(x)) -> P(a),
medium.txt,3,baseline,proved,6,7.1e-05,(forall x. P(x) -> Q(x)) -> (P(a) -> Q(a)),
medium.txt,3,improved,proved,6,7.3e-05,(forall x. P(x) -> Q(x)) -> (P(a) -> Q(a)),
medium.txt,4,baseline,proved,10,9.4e-05,((P(a) || Q(a)) && (P(a) -> R(a)) && (Q(a) -> R(a))) -> R(a),
medium.txt,4,improved,proved,10,0.000102,((P(a) || Q(a)) && (P(a) -> R(a)) && (Q(a) -> R(a))) -> R(a),
medium.txt,5,baseline,proved,2,1.6e-05,(exists x. P(x)) -> (exists x. P(x)),
medium.txt,5,improved,proved,2,1.7e-05,(exists x. P(x)) -> (exists x. P(x)),
